,Population,Population,Population,Population,Population,Population Density,Population Density,Population Density,Population Density,Population Density,Median Household Income,Median Household Income,Median Household Income,Median Household Income,Median Household Income,Poverty Rate,Poverty Rate,Poverty Rate,Poverty Rate,Poverty Rate
,mean,median,var,std,sem,mean,median,var,std,sem,mean,median,var,std,sem,mean,median,var,std,sem
State,,,,,,,,,,,,,,,,,,,,
Alabama,72256.18,34018.0,11094840773.91,105332.05,12868.36,92.1,47.72,11726.32,108.29,13.23,38834.93,38248.0,80021568.83,8945.48,1092.86,20.8,19.95,36.56,6.05,0.74
Alaska,25408.79,6970.0,3443900178.88,58684.75,10897.48,7.79,0.98,993.72,31.52,5.85,64801.66,64853.0,196542175.81,14019.35,2603.33,13.11,10.59,55.61,7.46,1.38
Arizona,448571.8,128177.0,1075190420781.31,1036913.89,267730.02,58.1,15.74,14561.08,120.67,31.16,44166.53,45383.0,45083058.12,6714.39,1733.65,20.13,19.77,32.22,5.68,1.47
Arkansas,39579.63,18688.0,3558460734.29,59652.84,6888.12,55.93,27.97,6412.49,80.08,9.25,37503.72,36352.0,41081315.29,6409.47,740.1,20.44,20.04,20.27,4.5,0.52
California,666451.83,181114.0,2130246003683.37,1459536.23,191646.5,716.42,109.57,6422801.0,2534.32,332.77,58091.24,54707.5,260971701.84,16154.62,2121.21,15.69,15.78,25.37,5.04,0.66
Colorado,83738.98,14406.0,28766649750.27,169607.34,21200.92,171.0,11.3,418137.3,646.64,80.83,52243.59,49310.0,236904471.51,15391.7,1923.96,13.32,11.96,31.31,5.6,0.7
Connecticut,448571.25,228587.0,141761668486.79,376512.51,133117.27,722.22,420.8,310966.7,557.64,197.16,72395.0,70773.0,84755917.43,9206.3,3254.92,9.02,9.04,5.39,2.32,0.82
Delaware,311565.0,211224.0,43750675593.0,209166.62,120762.41,620.58,304.79,359463.65,599.55,346.15,58561.67,55184.0,44947530.33,6704.29,3870.72,12.15,12.67,0.96,0.98,0.57
District of Columbia,659009.0,659009.0,,,,11490.12,11490.12,,,,72935.0,72935.0,,,,17.0,17.0,,,
Florida,297529.12,113589.0,226301047765.71,475711.1,58117.36,380.24,189.59,330920.61,575.26,70.28,45205.37,44224.0,70263773.6,8382.35,1024.07,16.56,16.14,20.29,4.5,0.55
Georgia,63517.74,22778.0,18558623749.51,136230.04,10803.74,210.0,67.12,179289.83,423.43,33.58,41727.55,38827.0,136012205.68,11662.43,924.89,20.67,20.31,39.48,6.28,0.5
Hawaii,282734.6,162456.0,160834859560.3,401042.22,179351.53,389.9,116.37,484978.8,696.4,311.44,66744.6,68224.0,70033600.3,8368.61,3742.56,11.78,9.71,15.23,3.9,1.75
Idaho,37170.07,12954.5,5195859367.88,72082.31,10866.82,39.39,9.08,7604.05,87.2,13.15,44766.84,44473.5,45431401.58,6740.28,1016.14,15.9,15.24,18.63,4.32,0.65
Illinois,125996.9,26736.5,281772687021.95,530822.65,52559.27,194.91,46.39,397822.43,630.73,62.45,51240.75,49025.0,106084710.98,10299.74,1019.83,13.51,13.46,17.66,4.2,0.42
Indiana,71625.85,33981.5,14409243756.06,120038.51,12514.88,183.28,84.89,88501.14,297.49,31.02,50059.82,48120.5,62683140.99,7917.27,825.43,13.1,12.75,13.59,3.69,0.38
Iowa,31379.69,15552.0,3133048253.12,55973.64,5625.56,55.13,26.9,10205.72,101.02,10.15,51620.22,49942.0,42292883.85,6503.3,653.61,11.43,10.79,9.97,3.16,0.32
Kansas,27602.78,6988.0,5982639676.6,77347.53,7548.35,50.84,8.69,29355.08,171.33,16.72,48559.74,47532.0,46105635.33,6790.11,662.65,12.12,12.01,16.21,4.03,0.39
Kentucky,36766.57,18892.5,5833014565.09,76374.17,6971.98,121.12,58.99,55568.05,235.73,21.52,40051.06,39753.0,112741155.28,10617.96,969.28,21.04,19.86,44.77,6.69,0.61
Louisiana,72588.59,33462.0,9572983153.13,97841.62,12230.2,163.68,49.56,132113.04,363.47,45.43,41937.09,40793.0,106087704.63,10299.89,1287.49,20.82,19.89,33.55,5.79,0.72
Maine,83120.19,52923.0,5582178341.1,74713.98,18678.49,92.06,49.43,9914.24,99.57,24.89,47553.31,47025.0,56655466.63,7526.98,1881.75,14.25,14.23,9.7,3.12,0.78
Maryland,248329.25,106425.0,91654006820.2,302744.13,61797.39,824.1,321.9,2353423.34,1534.09,313.14,70159.42,68463.5,465419236.95,21573.58,4403.69,10.69,9.74,22.14,4.71,0.96
Massachusetts,481581.64,487364.5,185322689719.48,430491.22,115053.62,1702.67,656.2,12630063.37,3553.88,949.81,68007.29,64458.0,185530121.91,13620.94,3640.35,11.1,11.03,12.13,3.48,0.93
Michigan,119392.77,38330.0,66968773724.74,258783.26,28405.15,191.05,59.24,166786.9,408.4,44.83,45654.16,43373.0,67071342.62,8189.71,898.94,15.77,15.7,15.71,3.96,0.44
Minnesota,62653.66,21729.0,22702863396.65,150674.69,16154.02,139.79,26.14,218980.32,467.95,50.17,55559.85,53059.0,94951833.31,9744.32,1044.7,10.96,11.11,10.07,3.17,0.34
Mississippi,36453.56,23162.0,1826618545.8,42738.96,4719.73,62.77,43.08,4797.37,69.26,7.65,35626.41,34761.5,65920796.32,8119.16,896.61,24.49,23.59,47.34,6.88,0.76
Missouri,52692.62,18475.0,15263864567.52,123547.01,11520.82,132.03,31.17,253977.08,503.96,46.99,42781.32,41351.0,68317135.04,8265.42,770.75,17.15,16.94,23.34,4.83,0.45
Montana,18274.84,7252.0,994977908.83,31543.27,4215.15,7.83,2.61,175.34,13.24,1.77,45575.68,44389.5,58014106.11,7616.7,1017.82,14.93,14.36,33.88,5.82,0.78
Nebraska,20228.59,6313.0,4321112198.09,65735.17,6816.42,45.61,8.0,39349.27,198.37,20.57,49953.92,49943.0,41845822.77,6468.83,670.79,11.35,10.55,13.15,3.63,0.38
Nevada,167010.12,17091.0,251155187865.61,501153.86,121547.66,51.12,2.49,12091.41,109.96,26.67,55360.18,52629.0,146805460.15,12116.33,2938.64,13.17,11.79,10.55,3.25,0.79
New Hampshire,132750.3,82742.0,15356809311.12,123922.59,39187.77,189.71,130.05,28970.36,170.21,53.82,62390.9,59849.5,102988517.21,10148.33,3209.18,9.38,9.69,3.87,1.97,0.62
New Jersey,424545.52,450236.0,67538801687.76,259882.28,56710.96,2280.24,1073.09,11017160.68,3319.21,724.31,74407.67,72999.0,286476853.23,16925.63,3693.47,10.34,10.16,18.87,4.34,0.95
New Mexico,63111.18,27373.0,14485414279.15,120355.37,20951.18,36.7,6.9,10844.37,104.14,18.13,40088.82,36160.0,234966072.22,15328.6,2668.37,20.9,21.6,36.95,6.08,1.06
New York,317700.92,89808.0,301564208816.99,549148.62,69741.94,3113.46,114.11,125555415.36,11205.15,1423.06,56478.39,51827.0,177903765.88,13338.06,1693.93,13.63,13.62,14.85,3.85,0.49
North Carolina,99408.28,55513.5,24010187370.67,154952.21,15495.22,211.94,112.02,93255.73,305.38,30.54,42707.56,41031.0,71313767.28,8444.75,844.47,18.36,17.83,20.55,4.53,0.45
North Dakota,13889.85,4284.0,777559646.67,27884.76,3830.27,9.39,3.84,292.99,17.12,2.35,57219.89,55900.0,104755672.49,10235.02,1405.89,10.79,9.24,41.0,6.4,0.88
Ohio,131669.78,57754.0,46283748802.03,215136.58,22933.64,294.64,119.15,229534.05,479.1,51.07,49741.88,48462.0,90309983.6,9503.16,1013.04,14.44,13.95,19.2,4.38,0.47
Oklahoma,50332.32,22161.0,12888503738.25,113527.55,12937.66,72.32,28.85,34403.78,185.48,21.14,45040.6,44331.0,61897703.61,7867.51,896.59,16.5,15.77,20.08,4.48,0.51
Oregon,110618.53,42172.5,29493743618.43,171737.43,28622.9,121.92,24.2,112089.29,334.8,55.8,46481.14,45393.0,75716207.21,8701.51,1450.25,16.18,16.54,7.74,2.78,0.46
Pennsylvania,190805.63,87491.0,74432837258.51,272823.82,33330.73,475.74,141.74,2206582.39,1485.46,181.48,51513.01,49028.0,94218365.83,9706.61,1185.85,12.32,12.39,10.29,3.21,0.39
Rhode Island,210898.2,126319.0,57153469264.2,239067.92,106914.42,1146.01,972.13,412484.82,642.25,287.22,66994.8,71347.0,94776731.7,9735.33,4353.77,9.91,8.82,14.74,3.84,1.72
South Carolina,105100.11,58539.0,13540150555.7,116362.15,17156.66,153.52,77.53,23504.27,153.31,22.6,40876.2,40312.5,71789247.23,8472.85,1249.25,19.7,19.09,20.8,4.56,0.67
South Dakota,12894.82,5506.5,687126203.35,26213.09,3226.61,15.18,5.76,1056.59,32.51,4.0,48783.77,49291.0,79393534.89,8910.3,1096.78,15.87,11.4,125.88,11.22,1.38
Tennessee,68926.41,31335.0,16966304545.41,130254.77,13363.86,148.64,72.84,49432.32,222.33,22.81,41394.18,39728.0,90753018.6,9526.44,977.39,18.38,18.3,16.95,4.12,0.42
Texas,106127.7,18408.5,145862613210.21,381919.64,23963.77,119.65,21.81,124608.71,353.0,22.15,48039.81,46454.5,126019993.94,11225.86,704.37,16.0,15.83,31.88,5.65,0.35
Utah,101669.9,20733.0,51123187834.45,226104.37,41986.53,132.88,9.56,128505.66,358.48,66.57,56679.14,52865.0,167811810.27,12954.22,2405.54,12.39,12.19,22.28,4.72,0.88
Vermont,44732.07,36714.5,1397501007.76,37383.16,9991.07,73.13,54.78,4911.87,70.08,18.73,53851.29,53789.5,57308805.45,7570.26,2023.24,11.37,11.89,5.09,2.26,0.6
Virginia,62483.47,25290.0,15263791963.54,123546.72,10712.86,910.61,106.51,3015437.68,1736.5,150.57,54078.41,49639.0,389016406.05,19723.5,1710.24,13.98,13.11,38.85,6.23,0.54
Washington,181362.72,61060.0,134673463526.42,366978.83,58763.64,145.87,36.32,59490.0,243.91,39.06,51859.74,50145.0,81149564.09,9008.31,1442.48,15.23,15.0,15.16,3.89,0.62
West Virginia,33565.31,23473.0,1116696838.4,33417.01,4505.95,95.09,48.48,10373.28,101.85,13.73,40361.71,39381.0,46037455.84,6785.09,914.9,17.77,16.92,19.7,4.44,0.6
Wisconsin,79927.75,40985.5,18138533609.77,134679.37,15872.12,167.35,49.41,226216.68,475.62,56.05,51908.89,51411.5,69814737.82,8355.52,984.71,11.85,11.51,14.61,3.82,0.45
Wyoming,25349.09,15696.0,580519605.9,24093.97,5023.94,6.54,4.13,56.25,7.5,1.56,57060.13,55640.0,126302423.48,11238.44,2343.38,11.3,10.86,17.48,4.18,0.87
